what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598716676
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314598719773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598720210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598727392
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314598737824
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314598739988
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598857308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598861639
started,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.ui",1314598996316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599044961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599098191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599186288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599186375
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314599188687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599189089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599203733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599210221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599210496
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314599212138
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599224461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599229765
